Category,Subcategory,Item Number,Net Price,Description,Accessories,LifeView,Dual Disposition,Top,Finish,Oversize,Exterior Width,Exterior Length,Interior Width,Weight
Caskets & Containers - Metal,Bronze,147959,8206.91,"Z64 824 DH Classic Gold, Champagne Velvet",,,,CT,BR,,29.00,84.00,26.00,300
Caskets & Containers - Metal,Bronze,280178,4759.65,"Z65 8J3 D DaVinci Bronze, Champagne Velvet",3,,,CT,,,29.00,84.00,26.00,300
Caskets & Containers - Metal,Bronze,147862,4168.78,"O39 884 IDH Aegean Bronze, Champagne Velvet",,,,CT,BR,,28.50,83.50,24.00,260
Caskets & Containers - Metal,Copper,147929,4067.83,"Y35 625 DH Mediterranean Copper, Champagne Velvet",,,,FT,BR,,28.50,83.50,24.00,260
Caskets & Containers - Metal,Copper,147930,4067.83,"Y35 825 DH Mediterranean Copper, Champagne Velvet",,,,CT,BR,,28.50,83.50,24.00,260
Caskets & Containers - Metal,Copper,147935,3857.01,"Y39 884 IDH Aegean Copper, Champagne Velvet",,,,CT,BR,,28.50,83.50,24.00,260
Caskets & Containers - Metal,Stainless Steel,185493,2339.74,"UG1 828 CDH Golden Sand, Champagne Velvet-Charpente",4,,,CT,BR,,28.50,83.50,24.00,195
Caskets & Containers - Metal,Stainless Steel,185491,2339.74,"UG1 828 CDH Silver Sapphire, Silver Velvet-Charpente",4,,,CT,BR,,28.50,83.50,24.00,195
Caskets & Containers - Metal,Stainless Steel,147905,2265.51,"U23 833 IDH Onyx, Silver Velvet",,,,CT,BR,,28.50,83.50,24.00,195
Caskets & Containers - Metal,Stainless Steel,147901,2265.51,"U46 844 NDH Tapestry Rose, Moss Pink Velvet",,,,CT,BR,,28.50,83.50,24.00,195
Caskets & Containers - Metal,18 Gauge Steel,185487,2013.13,"JF9 825 CDH Golden Midnight, Champagne Velvet-Charpente",4,,,CT,BR,,28.50,83.50,24.00,220
Caskets & Containers - Metal,18 Gauge Steel,185489,2013.13,"JF9 825 CDH Golden Pearl, Eggshell Velvet-Charpente",4,,,CT,,,28.50,83.50,24.00,220
Caskets & Containers - Metal,18 Gauge Steel,147733,1882.48,"A37 833 D Sierra, Champagne Velvet",,,,CT,,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,239699,1832.01,"OE1 8J3 DH Golden Midnight, Champagne Velvet",3,,,CT,BR,,29.00,84.00,26.00,250
Caskets & Containers - Metal,18 Gauge Steel,239696,1832.01,"OE1 8J3 DH Golden Granite, Champagne Velvet",3,,,CT,BR,,29.00,84.00,26.00,250
Caskets & Containers - Metal,18 Gauge Steel,218068,1793.41,"P89 899 D Pieta Star Quartz, Champagne Velvet",,,,CT,BR,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,147825,1790.44,"J37 891 DH Topaz, Champagne Velvet",,,,CT,BR,,28.50,83.50,24.00,220
Caskets & Containers - Metal,18 Gauge Steel,239694,1754.81,"A60 8J3 CDH Merlot, Champagne Velvet",3,,,CT,,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,147723,1695.42,"A40 818 ND Primrose, Moss Pink Crepe",,,,CT,,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,147816,1618.22,"J37 800 DH Onyx, Silver Crepe",,,,CT,BR,,28.50,83.50,24.00,220
Caskets & Containers - Metal,18 Gauge Steel,261097,1589.35,"OT37 833 D Brushed Merlot, Champagne Velvet",,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,286130,1534.91,"NV1 8NP CDH Tuscany Silver, Ivory Basketweave",7,,,CT,BR,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,286125,1534.91,"NV1 8NP CDH Burnished Silver, Ivory Basketweave",7,,,CT,BR,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,246186,1508.36,"P90 8J3 UDH Star Quartz, Champagne Velvet with Dual Overlay",7,,,CT,BR,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,255454,1401.47,"OT9 8L7 DH Indigo Blue, Ivory Velvet",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,255453,1401.47,"OT9 8L7 DH Ivory, Ivory Velvet",3,,,CT,,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,255455,1400.48,"OT9 8L7 DH Onyx, Silver Velvet",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,241566,1398.50,"OT9 8L7 DH Violet Bouquet, Natural Velvet",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,216580,1398.50,"OT9 8L7 DH Auburn Sunset, Champagne Velvet",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,246018,1303.49,"ON9 8J3 DH Merlot-28, Champagne Velvet",3,,,CT,,D3,29.00,83.50,28.00,220
Caskets & Containers - Metal,18 Gauge Steel,239723,1264.89,"N01 8K3 CDH Merlot, Rosetan Crepe-Charpente",1,Y,,CT,,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,147883,1261.92,"P68 800 DH Desert Sand, Rosetan Crepe",,,,CT,,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,147852,1261.92,"O77 863 DH Ocean Blue, Light Blue Crepe",,,,CT,,,28.25,83.25,23.88,212
Caskets & Containers - Metal,18 Gauge Steel,280219,1258.95,"OC1 8K3 UH Carnation, Woven Ivory",1,Y,,CT,,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,280218,1258.95,"OC1 8K3 UH Finch, Woven Ivory",1,Y,,CT,,,28.13,83.13,24.00,230
Caskets & Containers - Metal,18 Gauge Steel,251960,1131.27,"NL1 8K3 H Claret, Woven Ivory",1,Y,,CT,,,28.25,83.13,23.88,208
Caskets & Containers - Metal,18 Gauge Steel,251973,1131.27,"NL1 8K3 H Royal Plum, Woven Ivory",1,Y,,CT,,,28.25,83.13,23.88,208
Caskets & Containers - Metal,20 Gauge Steel,286528,1550.00,"T60 Ivory Pearl, Ivory Basketweave",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,20 Gauge Steel,286529,1550.00,"T60 Platinum Pearl, Ivory Basketweave",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,20 Gauge Steel,286530,1550.00,"T60 Midnight Pearl, Ivory Basketweave",3,,,CT,BR,,28.13,83.13,24.00,230
Caskets & Containers - Metal,20 Gauge Steel,220682,1113.46,"OS9 8J4 DH Antique Blue-28, Light Blue Crepe",1,,,CT,,D3,28.25,83.25,28.00,220
Caskets & Containers - Metal,20 Gauge Steel,148083,1083.76,"S41 825 A Misty Blue, Light Blue Crepe",,,,CT,,,28.38,83.13,24.88,190
Caskets & Containers - Metal,20 Gauge Steel,148091,1080.79,"S41 8A5 D Silver Ebony, Ivory Crepe",,,,CT,,,28.38,83.13,24.88,190
Caskets & Containers - Metal,20 Gauge Steel,271815,1036.26,"M39 825 CH Auburn, Champagne Velvet",4,,,CT,,,28.50,83.50,24.00,195
Caskets & Containers - Metal,20 Gauge Steel,273920,1033.29,"M39 825 CH Carnation, Ivory Velvet",4,,,CT,,,28.50,83.50,24.00,195
Caskets & Containers - Metal,20 Gauge Steel,278177,1033.29,"M39 825 CH Huntington Green",4,,,CT,P,,28.50,83.50,24.00,195
Caskets & Containers - Metal,20 Gauge Steel,271817,1030.32,"M39 825 CH Midnight, Ivory Velvet",4,,,CT,,,28.50,83.50,24.00,195
Caskets & Containers - Metal,20 Gauge Steel,271819,1030.32,"M39 825 CH Neopolitan Blue, Ivory Velvet",4,,,CT,,,28.50,83.50,24.00,195
Caskets & Containers - Metal,20 Gauge Steel,148073,988.75,"S48 882 A Sunglow, Rosetan Crepe",,,,CT,,,28.38,83.13,24.88,190
Caskets & Containers - Metal,20 Gauge Steel,148075,988.75,"S48 826 A Vintage, Rosetan Crepe",,,,CT,,,28.38,83.13,24.88,190
Caskets & Containers - Metal,20 Gauge Steel,242739,884.83,"S01 8J7 CDH Sand, Rosetan Crepe",3,,,CT,,,28.38,83.13,24.88,190
Caskets & Containers - Metal,20 Gauge Steel,252121,884.83,"S01 8J7 HDH Ocean Blue, Ivory Crepe",3,,,CT,,,28.38,83.13,24.88,190
Caskets & Containers - Metal,20 Gauge Steel,148052,878.89,"QD3 8B8 A Galaxy, Silver Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - Metal,20 Gauge Steel,242475,810.60,"Q01 8K3 AH Heirloom Pewter, Rosetan Crepe",1,Y,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - Metal,20 Gauge Steel,252031,805.32,"Q01 8K3 AH Ivory, Ivory Crepe",1,Y,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - Metal,20 Gauge Steel,242478,804.66,"Q01 8K3 AH Sand, Rosetan Crepe",1,Y,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - Metal,20 Gauge Steel,148026,764.20,"Q02 805 A Graytone, Silver Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - Metal,20 Gauge Steel,148028,763.09,"Q02 805 A Earthtone, Rosetan Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - Metal ** Extended Delivery Time Required,Bronze ** Extended Delivery Time Required,147968,24347.57,"Z94 997 DH Promethean Bronze, Shasta Lily Citation Velvet",,,,FI,,,29.00,84.00,26.00,300
Caskets & Containers - Metal ** Extended Delivery Time Required,Bronze ** Extended Delivery Time Required,147963,24347.57,"Z94 925 SH Promethean Bronze, Spitfire Red Citation Velvet",,,,FI,,,,,,,
Caskets & Containers - Metal ** Extended Delivery Time Required,Bronze ** Extended Delivery Time Required,182054,23456.80,"Z94 697 DH Promethean Bronze, Shasta Lily Citation Velvet",,,,FT,,,,,,,
Caskets & Containers - Metal ** Extended Delivery Time Required,Bronze ** Extended Delivery Time Required,147957,8402.88,"Z64 924 DH Classic Gold, Champagne Velvet",,,,FI,BR,,29.00,84.00,26.00,300
Caskets & Containers - Metal ** Extended Delivery Time Required,Stainless Steel ** Extended Delivery Time Required,147873,11758.09,"OR7 976 LH Millennium, Blue Flame Whitehall Velvet",,,,FI,,,,,,,
Caskets & Containers - Metal ** Extended Delivery Time Required,Stainless Steel ** Extended Delivery Time Required,147872,11104.87,"OR7 676 LH Millennium, Shasta Lily Citation Velvet",,,,FT,,,28.88,83.88,26.00,180
Caskets & Containers - Metal ** Extended Delivery Time Required,Stainless Steel ** Extended Delivery Time Required,147875,11104.87,"OR7 825 DH Millennium, Cardinal Red Citation",,,,CT,,,,,,,
Caskets & Containers - Metal ** Extended Delivery Time Required,Stainless Steel ** Extended Delivery Time Required,184151,11104.87,"OR7 825 DH Millennium, Shasta Lily Citation",,,,CT,,,,,,,
Caskets & Containers - Wood,Mahogany,148252,5157.53,"8O9 892 LH Paragon Mahogany, Shasta Lily Velvet",4,,,CT,FR,,29.00,84.00,23.00,216
Caskets & Containers - Wood,Mahogany,148245,4228.16,"8PM 899 IHD Premier, Champagne Velvet",,,,CT,FR,,29.00,84.25,24.00,285
Caskets & Containers - Wood,Mahogany,148249,4186.59,"8X4 866 HD Eloquence Mahogany, Champagne Velvet-Wood Bed",,,,CT,FR,,28.00,83.00,24.00,245
Caskets & Containers - Wood,Mahogany,204210,3340.37,"8PM 965 HD Regent Mahogany, Champagne Velvet Wood Bed",,,,FI,FR,,29.00,83.75,24.00,280
Caskets & Containers - Wood,Mahogany,195846,3174.09,"8PM 865 HD Regent Mahogany, Champagne Velvet-Wood Bed",,,,CT,FR,,29.00,83.75,24.00,280
Caskets & Containers - Wood,Mahogany,195848,2758.40,"8NC 828 HD Chandler Mahogany, Champagne Velvet-Wood Bed",4,,,CT,SR,,28.00,82.63,24.00,235
Caskets & Containers - Wood,Cherry,148227,3782.78,"7PM 865 HD Pembroke Cherry, Champagne Velvet",,,,CT,FR,,29.00,83.75,24.00,280
Caskets & Containers - Wood,Cherry,148236,2779.19,"7YM 888 HDH Langdon Cherry, Champagne Velvet",,,,CT,S,,28.50,81.50,24.00,233
Caskets & Containers - Wood,Cherry,202512,1814.19,"7V3 828 HD Pearson Cherry, Champagne Velvet",4,,X,CT,VSR,,28.38,82.63,24.00,215
Caskets & Containers - Wood,Maple,148191,2550.56,"3Q9 892 LH Provincial Maple, Champagne Velvet",,,X,CT,S,,29.50,83.63,24.00,245
Caskets & Containers - Wood,Maple,148189,2547.59,"3XI 825 HD Pieta Maple, Champagne Velvet",4,,,CT,SR,,28.63,83.00,24.00,240
Caskets & Containers - Wood,Maple,244311,2408.03,"130 Prominence-Full Top, Champagne Velvet",4,,,FT,FR,,28.50,81.63,24.00,238
Caskets & Containers - Wood,Maple,244309,2405.44,"130 Prominence-Cut Top, Champagne Velvet",4,,,CT,FR,,28.50,81.63,24.00,238
Caskets & Containers - Wood,Maple,280399,2079.44,"3KW 8L8 UL Kenwood Maple, Champagne Velvet with Dual Overlay",3,,X,CT,FR,,29.00,84.25,24.00,245
Caskets & Containers - Wood,Maple,205164,1745.90,"3V8 825 HD Sacrament Maple, Champagne Velvet",4,,,CT,VSR,,28.63,83.00,24.00,215
Caskets & Containers - Wood,Maple,195853,1321.30,"3X5 825 D Muirfield Maple, Rosetan Crepe-Wood Bed",,,,CT,SR,,28.88,82.50,24.00,230
Caskets & Containers - Wood,Pecan,146799,1968.59,"20A 880 HD Woodbridge Pecan, Champagne Velvet",4,,,CT,S,,28.50,82.50,24.00,270
Caskets & Containers - Wood,Pecan,286402,1759.50,"2V1 8NP H Classic Pecan, Ivory Linwood",3,,,CT,S,,28.50,82.50,24.00,215
Caskets & Containers - Wood,Pecan,242987,1478.67,"2V4 8J3 CHD Woodford Pecan, Champagne Velvet-Charpente",7,,,CT,VGS,,28.50,82.50,24.00,215
Caskets & Containers - Wood,Pecan,205162,1339.12,"2V1 880 HD Woodhaven Pecan, Champagne Velvet",4,,X,CT,VS,,28.50,82.50,24.00,215
Caskets & Containers - Wood,Oak,146876,2381.31,"5ZZ 865 HD Barkley Oak, Champagne Velvet",4,,,CT,S,,28.75,82.25,24.00,240
Caskets & Containers - Wood,Oak,239372,2179.40,"521 8J3 CHD Warren Oak, Champagne Velvet-Charpente",3,,,CT,S,,28.50,82.50,24.00,260
Caskets & Containers - Wood,Oak,246688,1588.53,"5AR 828 HD Camden Oak, Champagne Velvet",4,,,CT,FR,,28.75,82.25,24.00,240
Caskets & Containers - Wood,Oak,202513,1558.84,"5V4 865 HD Cameron Oak, Champagne Velvet",4,,,CT,VS,,28.75,82.25,24.00,215
Caskets & Containers - Wood,Oak,215462,1353.96,"5V9 882 HD Benton Oak, Rosetan Crepe",4,,,CT,VS,,29.00,82.25,24.00,215
Caskets & Containers - Wood,Oak,195908,1330.21,"Eleanor Oak, Pink Crepe",,,,CT,VGS,,27.00,81.25,24.63,220
Caskets & Containers - Wood,Oak,269166,1330.21,"5BN 8K0 UPH Fireside Oak, Oatmeal Duck Cloth, Multiple Overlay",7,,X,CT,S,,28.25,82.25,24.00,250
Caskets & Containers - Wood,Oak,242572,1303.49,"532 8J5 CHD Brexton Oak, Champagne Velvet",,Y,,CT,VS,,27.50,82.25,24.00,215
Caskets & Containers - Wood,Oak,279580,1107.09,"4NZ 825 CH Novak, Khaki Linwood",4,,X,CT,VSR,,29.00,82.25,24.00,215
Caskets & Containers - Wood,Select Hardwood,283933,1922.31,"410 Forever Honored - Black, Linwood/Black Polyester",5,,X,CT,S,,28.50,81.63,24.00,238
Caskets & Containers - Wood,Select Hardwood,148201,1876.54,"41P 703 D Hartfield, Rosetan Crepe-Euro Size",4,,,CT,,,25.25,76.75,20.50,135
Caskets & Containers - Wood,Select Hardwood,269191,1784.50,"4EL 825 CH Cabernet, Shasta Lily Velvet with Finished Foot Dish",4,,X,CT,FR,,28.75,82.00,24.00,238
Caskets & Containers - Wood,Select Hardwood,245987,1692.45,"4DD 8J3 HD Mansfield-27, Rosetan Crepe",3,,X,CT,GS,D3,29.50,83.50,27.00,223
Caskets & Containers - Wood,Select Hardwood,255186,1570.72,"4HW 8L7 UHD Hartwick, Champagne Velvet with Dual Overlay",7,,,CT,S,,28.63,83.00,24.00,225
Caskets & Containers - Wood,Select Hardwood,284882,1390.45,"495 625 CH Bailey 28, Khaki Linwood",4,,X,FT,VS,D3,29.50,82.50,28.00,200
Caskets & Containers - Wood,Select Hardwood,284880,1390.45,"495 825 CH Bailey 28, Khaki Linwood",4,,X,CT,VS,D3,29.50,82.50,28.00,200
Caskets & Containers - Wood,Select Hardwood,252313,1244.10,"4V2 825 HD Weyburn-Last Supper, Champagne Velvet",4,,,CT,VSR,,28.75,82.50,24.00,215
Caskets & Containers - Wood,Select Hardwood,195866,1238.16,"4NP 882 D Hadyn, Rosetan Crepe-Wood Bed",4,,,CT,SR,,28.75,82.88,24.00,165
Caskets & Containers - Wood,Select Hardwood,242708,1229.26,"495 6J3 H Rosette, Natural Eyelet-Wood Bed",3,,,FT,VSR,,28.50,82.50,24.00,195
Caskets & Containers - Wood,Select Hardwood,285795,1229.06,"4V4 8NP H Crimson Montgomery",7,,X,CT,VSR,,28.23,81.56,24.00,240
Caskets & Containers - Wood,Select Hardwood,242707,1226.29,"495 8J3 H Rosette, Natural Eyelet-Wood Bed",3,,,CT,VSR,,28.20,81.50,24.00,195
Caskets & Containers - Wood,Select Hardwood,248178,1223.32,"4V2 825 HD Weyburn, Rosetan Crepe",4,,,CT,VSR,,28.75,82.50,24.00,215
Caskets & Containers - Wood,Select Hardwood,258838,1205.73,"4V4 825 HD Montgomery Red, Champagne Velvet",4,,,CT,VSR,,28.23,81.56,24.00,240
Caskets & Containers - Wood,Select Hardwood,265599,1190.66,"495 825 CDH Faircroft, Champagne Velvet",4,,,CT,VGS,OV,30.00,84.00,24.00,175
Caskets & Containers - Wood,Select Hardwood,284883,1161.21,"41X 8Q3 UHD Clifton 28, Rosetan Crepe",1,Y,X,CT,S,D3,29.50,84.50,28.00,217
Caskets & Containers - Wood,Select Hardwood,249224,1149.09,"4HD 825 HD Constance Select, Moss Pink Crepe-Wood Bed",4,,,CT,VSR,,28.23,81.56,24.00,240
Caskets & Containers - Wood,Select Hardwood,278474,1104.55,"4NZ 834 HD Watson, Khaki Linwood",4,,X,CT,VSR,,28.23,81.73,24.00,240
Caskets & Containers - Wood,Select Hardwood,205163,1092.67,"4V2 825 HD Weston, Rosetan Crepe",4,,,CT,VSR,,28.75,82.50,24.00,215
Caskets & Containers - Wood,Select Hardwood,251853,1092.67,"4V2 825 HD Weyburn Last Supper, Rosetan Crepe",4,,,CT,VSR,,28.75,82.50,24.00,215
Caskets & Containers - Wood,Select Hardwood,205161,1092.67,"4V1 891 HD Trenton, Rosetan Crepe",4,,,CT,VSR,,28.75,82.50,24.00,215
Caskets & Containers - Wood,Select Hardwood,246736,1060.01,"495 8J3 H Branson, Woven Saffron-Wood Bed",3,,,CT,VS,,28.63,82.25,24.00,175
Caskets & Containers - Wood,Select Hardwood,278583,1003.60,"Westcott Rosetan Crepe",,,,CT,,,29.00,82.25,22.75,148
Caskets & Containers - Wood,Select Hardwood,263784,994.69,"495 625 CH Riley, Ivory Linwood",4,,X,FT,VSR,,28.50,82.50,24.00,195
Caskets & Containers - Wood,Select Hardwood,263783,991.72,"495 825 CH Riley, Ivory Linwood",4,,X,CT,VSR,,28.63,82.50,24.00,175
Caskets & Containers - Wood,Select Hardwood,263781,991.72,"495 825 CH Bailey, Khaki Linwood",4,,X,CT,VS,,28.63,82.50,24.00,175
Caskets & Containers - Wood,Select Hardwood,260962,962.03,"4V4 825 HD MONTGOMERY/ROSETTE",4,,,,,,,28.23,81.56,24.00,240
Caskets & Containers - Wood,Select Hardwood,195862,935.30,"Brandon Select, Rosetan Crepe",,,,CT,,,27.50,81.75,23.25,148
Caskets & Containers - Wood,Select Hardwood,278475,905.61,"4NZ 834 HD Coleridge, Ivory Crepe",,,X,CT,VSR,,28.24,81.56,24.00,240
Caskets & Containers - Wood,Select Hardwood,195864,899.67,"Lambert Select, Rosetan Crepe",,,,CT,,,,82.25,22.75,130
Caskets & Containers - Wood,Select Hardwood,249223,891.41,"4V4 825 HD Montgomery, Rosetan Crepe-Wood Bed",4,,X,CT,VSR,,28.23,81.56,24.00,240
Caskets & Containers - Wood,Select Hardwood,146825,878.89,"4BH 891 D Gurnet, Rosetan Crepe",,,,CT,GS,,28.75,82.88,24.00,190
Caskets & Containers - Wood,Select Hardwood,229306,861.07,"4BH 691 UD Chestnut, Rosetan Crepe with Dual Overlay",,,X,FT,GS,,28.75,82.88,24.00,190
Caskets & Containers - Wood,Select Hardwood,229305,861.07,"4BH 891 UD Chestnut, Rosetan Crepe with Dual Overlay",,,X,CT,GS,,28.75,82.88,24.00,190
Caskets & Containers - Wood,Select Hardwood,258948,798.72,"4WB 8Q3 UDH Parkside, Rosetan Crepe with Dual Overlay",1,Y,X,CT,VS,,29.50,83.00,24.00,185
Caskets & Containers - Wood,Select Hardwood,195867,783.87,"Schafer Select, White Satin",,,,CT,,,26.75,82.00,21.75,147
Caskets & Containers - Wood,Select Hardwood,263630,778.99,"41X 8Q3 UHD Clifton, Rosetan Crepe with Dual Overlay",1,Y,X,CT,S,,28.25,82.50,24.00,170
Caskets & Containers - Wood,Select Hardwood,146824,772.44,"4VT 847 D Oxford, Rosetan Crepe",,,X,CT,S,,27.87,81.56,24.00,185
Caskets & Containers - Wood,Select Hardwood,195869,746.12,"Freelton Select, White Satin",,,,CT,,,28.00,79.50,23.00,138
Caskets & Containers - Wood,Select Hardwood,146853,712.98,"4C1 8J5 UDH Delray, Rosetan Crepe with Dual Overlay",,Y,X,CT,S,,27.90,81.35,23.94,185
Caskets & Containers - Wood,Select Hardwood,274158,695.60,"4C1 882 CDH Dryden Red, Rosetan Crepe",4,,X,CT,VS,,28.20,81.50,24.00,190
Caskets & Containers - Wood,Select Hardwood,278271,694.80,"4C1 882 CDH Dryden Brown, Rosetan Crepe",4,,X,CT,VS,,28.20,81.50,24.00,190
Caskets & Containers - Wood,Select Hardwood,284451,694.80,"4C1 682 CDH Dryden Brown, Rosetan Crepe",4,,X,FT,VS,,28.20,81.50,24.00,190
Caskets & Containers - Wood,Select Hardwood,195871,632.73,"Butler Aspen, White Barry",,,,CT,,,26.63,77.75,21.63,106
Caskets & Containers - Wood,Pine,146897,1000.63,"6LN 869 H Finley Pine, Rosetan Crepe",,,,CT,S,,28.25,82.25,24.00,205
Caskets & Containers - Wood,Walnut,148257,5311.93,"9TS 892 LH Seville Walnut, Champagne Velvet-Wood Bed",,,,CT,UR,,29.50,82.50,24.00,255
Caskets & Containers - Wood ** Extended Delivery Time Required,Mahogany ** Extended Delivery Time Required,148243,8800.76,"8SS 815 LH Montrachet Mahogany, Shasta Lily Velvet",,,,CT,UR,,29.00,82.50,24.00,250
Caskets & Containers - Wood ** Extended Delivery Time Required,Mahogany ** Extended Delivery Time Required,209436,5876.08,"710 President-Full Top, Silverbeige Velvet-Wood Bed",,,,FT,UR,,29.50,81.00,23.00,400
Caskets & Containers - Wood ** Extended Delivery Time Required,Mahogany ** Extended Delivery Time Required,202149,5876.08,"710 President-Cut Top, Silverbeige Velvet-Wood Bed",,,,CT,UR,,29.50,81.00,23.00,400
Caskets & Containers - Wood ** Extended Delivery Time Required,Mahogany ** Extended Delivery Time Required,201521,5374.28,"720 Provincial-Cut Top, Shasta Lily Velvet-Wood Bed",,,,CT,UR,,29.00,84.00,23.00,400
Caskets & Containers - NewPointe,18 Gauge Steel,281896,1548.30,"N18 8K9 D Vega Star Quartz, Champagne Velvet, Decorative Kit",,,,CT,BR,,28.25,83.13,23.88,208
Caskets & Containers - NewPointe,20 Gauge Steel,265532,1652.37,"CM5 8G0 Hercules Black-32, Ivory Crepe, Decorative Kit",,,,CT,,D4,33.00,87.75,32.00,231
Caskets & Containers - NewPointe,20 Gauge Steel,274280,1652.37,"CM5 8G0 Hercules White-32, Ivory Crepe, Decorative Kit",,,,CT,,D4,33.00,87.75,32.00,231
Caskets & Containers - NewPointe,20 Gauge Steel,274279,1233.71,"CM4 8K9 Hercules White-28, Ivory Crepe, Decorative Kit",,,,CT,,D3,29.00,84.00,28.00,220
Caskets & Containers - NewPointe,20 Gauge Steel,265526,1233.71,"CM4 8K9 Hercules Black-28, Ivory Crepe, Decorative Kit",,,,CT,,D3,29.00,84.00,28.00,220
Caskets & Containers - NewPointe,20 Gauge Steel,288171,1108.49,"QD3 8F3 A Scorpio Whit/Silver, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,288002,1108.49,"QD3 8F3 A Scorpio Sand, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,288000,1108.49,"QD3 8F3 A Scorpio Blue, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,287954,1108.49,"QD3 8F3 A Scorpio Mandarin, Rosetan Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,287998,1108.49,"QD3 8F3 A Scorpio Grey, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,288003,1108.49,"QD3 8F3 A Scorpio Whit/Gold, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,234322,991.30,"QM2 8H5 A Aries White, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,234318,991.30,"QM2 8H5 A Aries Silver, Ivory Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,20 Gauge Steel,234320,991.30,"QM2 8H5 A Aries Copper, Rosetan Crepe",,,,CT,,,28.25,83.00,23.88,169
Caskets & Containers - NewPointe,Wood,284990,1349.74,"4NE 825 DH Lunar Red, Champagne Velvet",,,X,CT,VSR,,28.75,82.50,24.00,215
Caskets & Containers - NewPointe,Wood,284994,1309.57,"4CI 825 D Lunar Brown, Rosetan Crepe",,,X,CT,VSR,,28.20,81.50,24.00,190
Caskets & Containers - NewPointe,Wood,246021,994.02,"427 825 DH Libra Harvest Red, Rosetan Crepe",,,X,CT,VS,,28.75,82.25,24.00,170
Caskets & Containers - NewPointe,Wood,241727,994.02,"427 880 D Libra Harvest Brown, Rosetan Crepe",,,X,CT,VS,,28.20,81.50,24.00,170
Caskets & Containers - NewPointe,Wood,248177,994.02,"427 880 D Libra Light Brown, Rosetan Crepe-Wood Bed",,,X,CT,VS,,28.75,82.25,24.00,170
Caskets & Containers - NewPointe,Wood,262858,721.52,"468 847 D Lynx Brown, Rosetan Crepe",,,X,CT,VS,,28.20,81.50,24.00,170
Caskets & Containers - NewPointe,Wood,257923,721.52,"468 847 D Lynx Light Brown, Rosetan Crepe",,,X,CT,VS,,28.20,81.50,24.00,170
Caskets & Containers - NewPointe,Wood,269152,699.25,"847 D Lyra Brown, Rosetan Crepe",,,X,CT,VS,,27.82,81.36,24.00,170
Caskets & Containers - NewPointe,Wood,269153,699.25,"647 D Lyra Brown, Rosetan Crepe",,,X,FT,VS,,27.82,81.36,24.00,170
Caskets & Containers - NewPointe,Wood,269150,699.25,"847 D Lyra Natural, Rosetan Crepe",,,X,CT,VS,,27.82,81.36,24.00,170
Caskets & Containers - NewPointe ** Extended Delivery Time Required,20 Gauge Steel ** Extended Delivery Time Required,274283,1652.37,"CM5 8G0 Hercules Blue-32, Ivory Crepe, Decorative Kit",,,,CT,,D4,33.00,87.75,32.00,231
